Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1998,20,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,2015,1705,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2016,1370,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1977,10653,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1972,13870,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1999,4219,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1997,5083,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1999,260,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1992,505,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,2015,254,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2015,2747,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1989,554,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1977,14894,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1998,2218,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1977,938,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2007,13,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,2013,174,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1971,1469,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1971,29026,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1998,4127,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1997,311,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1980,560,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1994,2860,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,2006,2098,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2008,NA,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1996,305,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1963,23900,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1981,530,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1969,1118,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1962,1959,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2015,2998,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1987,545,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1988,4290,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1961,24075,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1972,65,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1976,702,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2004,3620,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1971,14672,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2010,2855,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,1988,8088,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,2012,247,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1979,832,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1975,56,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1985,32,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1989,806,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1978,10660,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1960,45898,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1972,1102,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1991,6392,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1985,7161,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,2000,2980,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1962,99,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1984,5855,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2016,2702,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1984,474,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1962,26387,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1990,426,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1991,766,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2006,13,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1990,801,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1968,1157,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1982,511,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1970,31064,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1963,24886,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,2016,1633,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1961,2095,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2000,4033,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1975,1081,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1972,16073,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,2012,341,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2013,153,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1989,5665,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1985,8465,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1994,25,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1983,8441,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1991,6747,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1979,588,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1989,29,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1994,584,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1962,43510,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2016,9,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,2001,2834,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1992,4929,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1976,696,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,1989,436,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1989,7025,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1981,9235,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,2003,3746,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,2005,311,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,2006,297,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1999,294,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1988,549,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Spain,ESP,1991,3557,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2004,225,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2014,10,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1995,521,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1974,13871,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1995,4742,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1986,7747,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Italy,ITA,1999,3134,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1963,20793,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,1986,540,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1995,23,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Norway,NOR,2011,185,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Denmark,DNK,1979,619,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,2002,4359,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,1970,70,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sweden,SWE,1974,1172,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,United Kingdom,GBR,1968,20256,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,France,FRA,1983,8436,239,57,1960,2016
