Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Central African Republic,CAF,2014,8685,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Guinea-Bissau,GNB,2013,18,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Burundi,BDI,2011,1,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Burundi,BDI,2010,4,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Somalia,SOM,2011,6,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,"Congo, Dem. Rep.",COD,2011,18928,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Afghanistan,AFG,2016,14,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,Kosovo,XKX,2011,16,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,South Sudan,SSD,2016,12816,22,9,2007,2016
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,South Sudan,SSD,2014,11433,22,9,2007,2016
