Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,Gabon,GAB,2005,3341,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ecuador,ECU,2015,7081,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lebanon,LBN,1969,4661,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Least developed countries: UN classification,LDC,2007,2768403,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Algeria,DZA,2011,23877,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Brunei Darussalam,BRN,1996,97,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Cyprus,CYP,2004,63,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ecuador,ECU,2012,7756,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Uganda,UGA,1963,73721,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Finland,FIN,2001,242,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Portugal,PRT,1971,11630,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Belize,BLZ,1977,414,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Austria,AUT,2012,326,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Uruguay,URY,1973,3181,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iraq,IRQ,1999,36736,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Uzbekistan,UZB,1998,41140,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Germany,DEU,2011,2795,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Bolivia,BOL,1972,41259,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sri Lanka,LKA,1969,27888,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Portugal,PRT,1963,20420,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Bhutan,BTN,1987,2923,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Togo,TGO,1973,21579,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Japan,JPN,2004,4441,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Guatemala,GTM,1968,42397,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Burundi,BDI,1981,42814,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,India,IND,2013,1286848,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Mexico,MEX,2004,51763,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Mauritania,MRT,2001,11546,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,West Bank and Gaza,PSE,1992,4106,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Small states,SST,1994,59758,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,"Egypt, Arab Rep.",EGY,1972,341222,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,China,CHN,2007,331818,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,"Korea, Dem. People’s Rep.",PRK,2004,13557,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Central Europe and the Baltics,CEB,2006,9637,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Pre-demographic dividend,PRE,1996,3643356,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,South Asia (IDA & IBRD),TSA,2006,2786352,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Europe & Central Asia (excluding high income),ECA,2015,92778,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,South Asia (IDA & IBRD),TSA,1991,4613834,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Czech Republic,CZE,1993,1220,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Zambia,ZMB,1995,69449,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Belgium,BEL,2007,585,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,East Asia & Pacific,EAS,2016,509581,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lesotho,LSO,1980,6514,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Argentina,ARG,1994,18174,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Nepal,NPL,2001,57974,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sudan,SDN,2012,89131,239,57,1960,2016
