Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
"Fish species, threatened",EN.FSH.THRD.NO,Palau,PLW,2017,22,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sudan,SDN,2017,27,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Monaco,MCO,2017,15,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Latin America & the Caribbean (IDA & IBRD countries),TLA,2017,1278,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Germany,DEU,2017,24,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Philippines,PHL,2017,92,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Upper middle income,UMC,2017,2343,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Colombia,COL,2017,97,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Pacific island small states,PSS,2017,198,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Romania,ROU,2017,22,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,China,CHN,2017,133,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Syrian Arab Republic,SYR,2017,51,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Tonga,TON,2017,16,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Euro area,EMU,2017,522,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Indonesia,IDN,2017,161,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Seychelles,SYC,2017,22,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Canada,CAN,2017,43,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Early-demographic dividend,EAR,2017,2511,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Mongolia,MNG,2017,2,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Brazil,BRA,2017,87,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Senegal,SEN,2017,55,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Panama,PAN,2017,54,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Equatorial Guinea,GNQ,2017,42,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,South Asia (IDA & IBRD),TSA,2017,390,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,New Caledonia,NCL,2017,36,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Russian Federation,RUS,2017,39,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Macao SAR, China",MAC,2017,5,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Eritrea,ERI,2017,25,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Malawi,MWI,2017,98,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Peru,PER,2017,50,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,United Arab Emirates,ARE,2017,19,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Greenland,GRL,2017,9,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Jordan,JOR,2017,15,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Slovak Republic,SVK,2017,5,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Trinidad and Tobago,TTO,2017,35,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,East Asia & Pacific (IDA & IBRD countries),TEA,2017,1080,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sub-Saharan Africa,SSF,2017,2047,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Mozambique,MOZ,2017,67,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,South Asia,SAS,2017,390,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sub-Saharan Africa (excluding high income),SSA,2017,2025,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,West Bank and Gaza,PSE,2017,2,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Liberia,LBR,2017,63,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Kyrgyz Republic,KGZ,2017,3,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Middle East & North Africa (IDA & IBRD countries),TMN,2017,431,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Tunisia,TUN,2017,39,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Caribbean small states,CSS,2017,416,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Haiti,HTI,2017,30,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,South Africa,ZAF,2017,108,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Mali,MLI,2017,2,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,IDA only,IDX,2017,1960,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,French Polynesia,PYF,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Swaziland,SWZ,2017,4,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,IDA & IBRD total,IBT,2017,5751,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Croatia,HRV,2017,64,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Micronesia, Fed. Sts.",FSM,2017,26,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Poland,POL,2017,8,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Greece,GRC,2017,80,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,South Sudan,SSD,2017,0,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Kenya,KEN,2017,72,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Switzerland,CHE,2017,9,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Pakistan,PAK,2017,44,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Puerto Rico,PRI,2017,30,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Lithuania,LTU,2017,6,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Other small states,OSS,2017,534,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Congo, Dem. Rep.",COD,2017,92,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Belarus,BLR,2017,2,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Guinea-Bissau,GNB,2017,39,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Antigua and Barbuda,ATG,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Small states,SST,2017,1148,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Bermuda,BMU,2017,26,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Qatar,QAT,2017,16,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Albania,ALB,2017,44,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Honduras,HND,2017,42,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Somalia,SOM,2017,30,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Fragile and conflict affected situations,FCS,2017,1043,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sao Tome and Principe,STP,2017,25,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Solomon Islands,SLB,2017,25,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Ireland,IRL,2017,27,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Brunei Darussalam,BRN,2017,13,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Thailand,THA,2017,106,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Kazakhstan,KAZ,2017,14,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Botswana,BWA,2017,2,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Costa Rica,CRI,2017,61,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Chad,TCD,2017,1,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Turkey,TUR,2017,131,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Paraguay,PRY,2017,0,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Korea, Dem. People’s Rep.",PRK,2017,17,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Norway,NOR,2017,23,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Libya,LBY,2017,32,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Singapore,SGP,2017,28,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sweden,SWE,2017,15,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,IBRD only,IBD,2017,3190,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Slovenia,SVN,2017,33,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Heavily indebted poor countries (HIPC),HPC,2017,1666,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Chile,CHL,2017,25,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Guinea,GIN,2017,75,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Vanuatu,VUT,2017,18,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Mexico,MEX,2017,180,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Bhutan,BTN,2017,3,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Marshall Islands,MHL,2017,18,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Curacao,CUW,2017,28,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Guatemala,GTM,2017,36,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Austria,AUT,2017,11,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Fiji,FJI,2017,19,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Japan,JPN,2017,77,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Lebanon,LBN,2017,28,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Armenia,ARM,2017,3,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Rwanda,RWA,2017,7,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Cuba,CUB,2017,44,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Hong Kong SAR, China",HKG,2017,13,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Malaysia,MYS,2017,85,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Bahrain,BHR,2017,13,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Egypt, Arab Rep.",EGY,2017,53,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Kiribati,KIR,2017,14,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Tanzania,TZA,2017,175,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Finland,FIN,2017,6,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Tajikistan,TJK,2017,5,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Low income,LIC,2017,1173,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Nepal,NPL,2017,7,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Post-demographic dividend,PST,2017,1422,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Iceland,ISL,2017,16,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Middle East & North Africa,MEA,2017,636,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Tuvalu,TUV,2017,13,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,World,WLD,2017,8233,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Ghana,GHA,2017,56,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Sri Lanka,LKA,2017,55,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Madagascar,MDG,2017,108,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,St. Martin (French part),MAF,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Liechtenstein,LIE,2017,0,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Cayman Islands,CYM,2017,32,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Cyprus,CYP,2017,24,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Samoa,WSM,2017,16,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Nicaragua,NIC,2017,37,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Serbia,SRB,2017,15,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Low & middle income,LMY,2017,5615,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,OECD members,OED,2017,1547,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Timor-Leste,TLS,2017,11,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Algeria,DZA,2017,40,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Ecuador,ECU,2017,60,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,St. Lucia,LCA,2017,30,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Virgin Islands (U.S.),VIR,2017,27,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,United States,USA,2017,250,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Bangladesh,BGD,2017,27,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Pre-demographic dividend,PRE,2017,1681,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Australia,AUS,2017,120,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,North America,NAC,2017,319,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Iran, Islamic Rep.",IRN,2017,45,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Comoros,COM,2017,9,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,American Samoa,ASM,2017,12,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,El Salvador,SLV,2017,15,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,IDA blend,IDB,2017,601,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Isle of Man,IMN,2017,2,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Mauritius,MUS,2017,20,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Jamaica,JAM,2017,30,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Moldova,MDA,2017,8,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Maldives,MDV,2017,24,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Kuwait,KWT,2017,17,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,New Zealand,NZL,2017,34,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Least developed countries: UN classification,LDC,2017,1640,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Estonia,EST,2017,5,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Afghanistan,AFG,2017,5,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Ukraine,UKR,2017,24,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Azerbaijan,AZE,2017,12,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Lesotho,LSO,2017,1,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Latin America & Caribbean,LCN,2017,1650,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Middle income,MIC,2017,4442,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Saudi Arabia,SAU,2017,37,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Iraq,IRQ,2017,18,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Congo, Rep.",COG,2017,55,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Barbados,BRB,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Lower middle income,LMC,2017,2099,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Djibouti,DJI,2017,19,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Belgium,BEL,2017,13,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Lao PDR,LAO,2017,55,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Gibraltar,GIB,2017,18,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Georgia,GEO,2017,11,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Europe & Central Asia (IDA & IBRD countries),TEC,2017,525,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Dominican Republic,DOM,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Netherlands,NLD,2017,15,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,France,FRA,2017,52,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Cote d'Ivoire,CIV,2017,57,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Burundi,BDI,2017,17,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Suriname,SUR,2017,30,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Late-demographic dividend,LTE,2017,1735,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Yemen, Rep.",YEM,2017,37,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Uruguay,URY,2017,41,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Central Europe and the Baltics,CEB,2017,182,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Venezuela, RB",VEN,2017,43,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Oman,OMN,2017,34,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Dominica,DMA,2017,29,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,High income,HIC,2017,2235,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,"Macedonia, FYR",MKD,2017,13,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Nigeria,NGA,2017,71,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,IDA total,IDA,2017,2561,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Latin America & Caribbean (excluding high income),LAC,2017,1163,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Grenada,GRD,2017,28,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Uganda,UGA,2017,60,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,Israel,ISR,2017,45,261,1,2017,2017
"Fish species, threatened",EN.FSH.THRD.NO,San Marino,SMR,2017,0,261,1,2017,2017
